X;Activation1(X);Activation2(X)
3.187500e+00;1.748047e-01;1.596680e+00
3.250000e+00;1.906738e-01;1.628174e+00
3.312500e+00;2.062988e-01;1.659424e+00
3.375000e+00;2.219238e-01;1.690674e+00
3.437500e+00;2.375488e-01;1.721924e+00
3.500000e+00;6.591797e-02;1.753418e+00
3.562500e+00;8.154297e-02;1.784668e+00
3.625000e+00;9.716797e-02;1.815918e+00
3.687500e+00;1.127930e-01;1.847168e+00
3.750000e+00;3.491211e-02;1.878662e+00
3.812500e+00;5.053711e-02;1.909912e+00
3.875000e+00;1.928711e-02;1.941162e+00
3.937500e+00;1.147461e-02;1.972412e+00
4.000000e+00;1.503906e+00;2.003906e+00
4.062500e+00;1.518555e+00;2.034180e+00
4.125000e+00;1.534180e+00;2.065430e+00
4.187500e+00;1.549805e+00;2.096680e+00
4.250000e+00;1.565430e+00;2.127930e+00
4.312500e+00;1.581055e+00;2.159180e+00
4.375000e+00;1.596924e+00;2.190674e+00
4.437500e+00;1.612549e+00;2.221924e+00
4.500000e+00;1.628174e+00;2.253174e+00
4.562500e+00;1.643799e+00;2.284424e+00
4.625000e+00;1.659424e+00;2.315674e+00
4.687500e+00;1.675293e+00;2.347168e+00
4.750000e+00;1.690918e+00;2.378418e+00
4.812500e+00;1.706543e+00;2.409668e+00
4.875000e+00;1.722168e+00;2.440918e+00
4.937500e+00;1.737793e+00;2.472168e+00
5.000000e+00;1.753662e+00;2.503662e+00
5.062500e+00;1.768066e+00;2.533691e+00
5.125000e+00;1.783691e+00;2.564941e+00
5.187500e+00;1.799316e+00;2.596191e+00
5.250000e+00;1.814941e+00;2.627441e+00
5.312500e+00;1.830566e+00;2.658691e+00
5.375000e+00;1.846191e+00;2.689941e+00
5.437500e+00;1.861816e+00;2.721191e+00
5.500000e+00;1.877686e+00;2.752686e+00
5.562500e+00;1.893311e+00;2.783936e+00
5.625000e+00;1.908936e+00;2.815186e+00
5.687500e+00;1.924561e+00;2.846436e+00
5.750000e+00;1.940186e+00;2.877686e+00
5.812500e+00;1.955811e+00;2.908936e+00
5.875000e+00;1.971436e+00;2.940186e+00
5.937500e+00;1.987061e+00;2.971436e+00
6.000000e+00;1.252930e+00;3.002930e+00
6.062500e+00;1.267090e+00;3.032715e+00
6.125000e+00;1.282715e+00;3.063965e+00
6.187500e+00;1.298340e+00;3.095215e+00
6.250000e+00;1.313965e+00;3.126465e+00
6.312500e+00;1.329590e+00;3.157715e+00
6.375000e+00;1.345215e+00;3.188965e+00
6.437500e+00;1.360840e+00;3.220215e+00
6.500000e+00;1.376465e+00;3.251465e+00
6.562500e+00;1.392090e+00;3.282715e+00
6.625000e+00;1.407715e+00;3.313965e+00
6.687500e+00;1.423340e+00;3.345215e+00
6.750000e+00;1.438965e+00;3.376465e+00
